MUNICIPIO,COD,porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langue,1707,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco de Coray,1708,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Lorenzo,1709,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoro,1801,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenal,1802,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Negrito,1803,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Progreso,1804,10.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jocón,1805,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morazán,1806,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olanchito,1807,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Rita,1808,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulaco,1809,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,1810,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yorito,1811,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
